"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.994390542E0,1.549682419E1,1.136062546E1,4.733905792E0,1.978952336E1
2.004372542E0,7.038962402E0,5.644761658E-1,-1.535357208E0,7.226544596E0
2.014353542E0,6.441105652E0,-3.327580261E-1,-6.086942139E0,8.868451642E0
2.024334542E0,5.324577484E0,1.515747986E0,-8.522377625E0,1.016265407E1
2.034315542E0,4.450245667E0,1.611249390E0,-1.016640884E1,1.121412858E1
2.044296542E0,4.869224396E0,2.039658508E0,-8.817563782E0,1.027710971E1
2.054277542E0,6.402186584E0,1.387315063E0,-6.451284485E0,9.194112663E0
2.064258542E0,7.493567047E0,7.367678833E-1,-2.962788849E0,8.091630971E0
2.074239542E0,8.877439270E0,-4.102967834E-1,-9.357041931E-1,8.936040162E0
2.084220542E0,7.733817444E0,-2.802172852E-1,7.288343811E-1,7.773136660E0
2.094202542E0,5.984704742E0,-7.117698669E-1,8.800199890E-1,6.090791605E0
2.104183542E0,5.087769928E0,-9.029223633E-1,-1.305135956E0,5.329545149E0
2.114164542E0,5.178331604E0,-1.550176392E0,-3.270848236E0,6.317959578E0
2.124145542E0,5.760321350E0,-1.420545959E0,-4.535268860E0,7.467791943E0
2.134126542E0,5.649102631E0,-1.491049347E0,-3.876488800E0,7.011615656E0
2.144107542E0,6.045478363E0,-1.585652618E0,-3.500321045E0,7.163403540E0
2.154088542E0,5.103786621E0,-1.419198761E0,-3.249442749E0,6.214631218E0
2.164069542E0,3.763773193E0,-1.651066589E0,-2.602338409E0,4.864583716E0
2.174050542E0,2.382295990E0,-1.726809082E0,-2.368225250E0,3.776995450E0
2.184031542E0,5.328918457E-1,-3.060685272E0,-1.726958771E0,3.554455605E0
2.194013542E0,-1.023272095E0,-5.704786835E0,-4.342469788E-1,5.812077860E0
2.203994542E0,8.767268372E-1,-7.024891663E0,-7.481442261E-1,7.118811179E0
2.213975542E0,5.224136353E-2,-6.678961029E0,4.001179504E-1,6.691139213E0
2.223956542E0,-2.880759430E0,-7.681426392E0,-3.755690002E-1,8.212438029E0
