"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.738265958E0,-2.642051236E-1,-1.315661529E-1,-1.518808419E0,1.547221061E0
2.748246958E0,-6.548056342E-1,-7.504872054E-2,-1.367919849E0,1.518422683E0
2.758228958E0,-6.172936262E-1,9.713891655E-2,-1.172540401E0,1.328660371E0
2.768209958E0,-3.067306805E-1,3.943245292E-1,-5.921598083E-1,7.747443341E-1
2.778191958E0,1.689006248E-1,7.281148812E-1,-2.227192748E-1,7.799247250E-1
2.788173958E0,4.799545173E-1,1.073721871E0,1.169326186E-1,1.181908725E0
2.798154958E0,7.162354586E-1,8.829085135E-1,7.569366843E-1,1.365823495E0
2.808136958E0,8.568246692E-1,3.542272478E-1,2.554816334E0,2.717850613E0
2.818117958E0,7.742038775E-1,-1.244348887E-1,4.619175235E0,4.685259388E0
2.828099958E0,3.182744730E-1,-4.650375393E-1,5.516943862E0,5.545649478E0
2.838081958E0,-1.899464350E-1,-2.709880400E-1,5.275499464E0,5.285868780E0
2.848062958E0,-4.193526587E-1,3.752643603E-1,4.370379717E0,4.406461037E0
2.858044958E0,-1.820691392E-1,1.188973123E0,3.459968825E0,3.663084838E0
2.868026958E0,6.123234929E-1,1.999235537E0,2.458840136E0,3.227658223E0
2.878007958E0,1.029880545E0,2.482581586E0,2.082987546E0,3.400397386E0
2.887989958E0,1.361758053E0,2.189677304E0,2.939363734E0,3.910106245E0
2.897970958E0,1.617452408E0,1.639377713E0,4.215743083E0,4.803769491E0
2.907952958E0,1.524032029E0,8.167297268E-1,4.757995736E0,5.062434641E0
2.917934958E0,1.124952909E0,-2.020300716E-2,4.895715206E0,5.023340979E0
2.927915958E0,6.655749629E-1,-4.727009001E-1,4.388564558E0,4.463847561E0
2.937897958E0,6.029587385E-1,-6.192289084E-1,3.411825775E0,3.519596397E0
2.947878958E0,1.050566020E0,-3.983254865E-1,1.983179668E0,2.279331865E0
2.957860958E0,1.601715505E0,-1.653300226E-2,4.314052320E-1,1.658878046E0
2.967842958E0,1.856592419E0,2.119887570E-1,-5.355295247E-1,1.943879244E0
2.977823958E0,1.941892770E0,8.339182019E-2,-8.461698729E-1,2.119883294E0
2.987805958E0,2.014568983E0,-2.910542223E-1,-6.744611228E-1,2.144317736E0
2.997787958E0,1.914534525E0,-9.228768638E-1,-9.840980887E-2,2.127634519E0
3.007768958E0,1.705815824E0,-1.557711698E0,9.330899030E-1,2.491371134E0
3.017750958E0,1.314155286E0,-2.075626486E0,1.682558523E0,2.977621972E0
3.027732958E0,7.971292021E-1,-2.337828207E0,1.762303435E0,3.034232867E0
3.037713958E0,3.144666930E-1,-2.307782874E0,1.550010331E0,2.797728207E0
